dato,predicciones
excelente y merecido  dra claudia tiene todo nuestro apoyo y nuestro voto desde el extranjero,positivo
tiene mi apoyo,positivo
con todo doctora enhorabuena saludos,positivo
con todo la dra claudia sheinbaun,negativo
excelente evento doctora saludos desde cardenas tabasco,positivo
muy bien doctora un fuerte abrazo,positivo
todo mi total apoyo doctora animo,positivo
todo mi apoyo dra claudia sheinbaum ,negativo
vamos con todo estamos contigo claudia,negativo
claro que siestamos con usted dra claudia,negativo
apoyo total,positivo
fue un placer estar con usted apoyo total a claudia sheinbaum,positivo
todo mi apoyo a la 4t,positivo
cuente con mi apoyo doctora claudia sheinbaum ,negativo
todo mi apoyo al 100 con claudia,positivo
se ve el cariño dra claudia sheinbaum del pueblo de méxico vinieron de todos los rincones del país porque esto es el resultado de su gran caminar y de siempre difundir la unidad  felicidades futura presidenta y si alguien lo duda que vea esta imagen de cariño y de respaldo,positivo
gracias dra proxima presidente de la república mexicanapor ser una persona muy perseverante en trabajar en conjunto con todos nosotros  hermanos y dueños de nuestra hermosa tierra y hermoso país en el que se trabaja con todo el corazón  de ayudar al pais ciudadanía y bienestar en todo proyecto en coordinacion de grandes funcionarios empaticos y que sirven lealmente a la ciudadanía gracias por conservar su solidaridadg,positivo
racias y bendiciones,positivo
excelente cierre de precampaña dra claudia sheinbaum,negativo
saludos,positivo
contigo hasta el final querida amiga y compañera claudia sheinbaum,positivo
el cariño del pueblo lo tienes y sé que serás una digna sucesora de nuestro presidente andrés manuel lópez obrador,negativo
conclaudiaganamos ,negativo
vamos con todo el amor al pueblo doctora abrazo apretado ,positivo
fue un honor estar hoy con nuestra próxima presidenta claudiapresidenta2024,positivo
no soy mexicano pero me alegro del cambio en mexico saludos a la futura presidente de mexico claudia que la transformacion de un gran pais como mexico continie,positivo
impresionante la cantidad de personas que van en apoyo de la dra claudiadios los cuidetodos ellos y yo vamos con todo ,positivo
chimalhuacán esta con usted dra claudia sheinbaum una mujer comprometida con el pueblo ,negativo
ganamos la precampaña rumbo a la presidencia de méxico felicidades dra claudia sheinbaum estamos con usted,positivo
todo el apoyo claudia sheinbaum    nuestra futura presidente de méxico ,positivo
exelente usted sabe muy bien que la mayoría de los mexicanos están con la nueva transformación y sabemos que usted va sacar adelante a méxico como lo hizo amlo méxico confía en usted no nos decepcióne dra claudia,negativo
cuenta con mi apoyo seras mi próxima presidenta y de todo méxico muchísimas felicidades por hacer una excelente y gran precampaña un buen trabajo el que realizas junto con todo tu gran equipazo ,positivo
esa es mi líder vamos con todo claudia sheinbaum orgulloso de haber sido coordinador de jóvenes con claudia en lzc y defender la encuesta ,negativo
todos unidos por la continuidad de la 4ta transformación con la dra claudia sheinbaum ,negativo
así será dra claudia sheimbaun tengo la certeza que continuará con el legado nuestro presidente  con usted a la cabeza este país será potencia,negativo
todo el apoyo a la próxima presidenta de méxico,positivo
con todo al  tiene nuestro apoyo y voto  dra claudia sheinbaum  por un gran cambio continuamos con la 4t vamos con usted lo mismo que con morena viva méxico  saludos desde indiana usa ,positivo
vamos con todo  draclaudia sheimbaun,negativo
que siga la 4t,negativo
ahí estaremos al pie del cañón no vamos a bajar la guardia ya mi apa andrés manuel nos ha puesto el ejemplo de como ser unos chingones  vamos con todo y mil gracias por trabajar para la gente y no pensar en beneficio propio eso es muy digno de reconocer,negativo
todos con claudia sheinbaum por el camino del cambio  viva la 4t viva morena viva méxico,positivo
con humildad y sencillez como debemos ser los que tenemos bien cimentados nuestros principios de nuestro movimiento muchas felicidades y exito en este camino enorme que tiene para construir el segundo piso de la cuartatransformacion,positivo
enorme postal que representa la esperanza de nuestro pueblo,positivo
se consolidará la cuarta transformación,negativo
