dato,predicciones
mas bien recorriendo el pais por que eso de luchar por causas seran las tuyas y haver si le haces caso a daniel moreno te anda buscando haber si es cierto que apoyas las causas de tu projimo pon el ejemplo,negativo
podrian decir que tipo de luchas han enfrentado por que nadie los conoce,negativo
gracias presidente ,negativo
vamos por ese mexico nuevo ,positivo
eres un payaso servil dl pejeloco desquiciado,negativo
luchando por causas  haaay no mames ,negativo
gustavo molina lopez,negativo
jorge mi amor me encantas,positivo
seras un gran presidente,positivo
me encantaria intentar algo contigo pero se que tus amigos de nuevo leon no lo permitiran,positivo
aqui estoy para lo que necesites comandante ,negativo
denle una cheve para que no se desviele,negativo
borracho,negativo
y esos  son el guayabo y el tostado,negativo
salud,positivo
mejor tomate unos drinks  ,negativo
las causas de lopez hablador,negativo
ya anda ebrio,negativo
purosssss borrachosssss,negativo
otro politico de cuarta,negativo
puras ratas de 2 patas wuacala,negativo
para la foto escondieron el pomo,negativo
traduccion mas de diez anos viviendo del erario y de las prerrogativas que salen de los impuestos de los mexicanos de bien que generamos pib,negativo
en nayarit ya lo estamos esperando y en mi bello municipio santiago la cuna de la mexicanidad vamos con todo mi presidente jorge alvarez maynez maynez somos lonuevo ,positivo
saca las chelas padrino,negativo
el cambio que todos queremos ,positivo
don chupes para presidente ,negativo
invita las cervatanas para el super bold,positivo
saca el caguamon ya te veo en la mananera con una hielera pa que esten todos en ambiente,negativo
a pistear con,negativo
adan augusto mil amores y ponerse a sus ordenes,negativo
que va a sacar las caguamas si no sacan ni nada del cerebro,negativo
yo le puedo recomendar una pulqueria buenisima en tabasco ,negativo
llevara sus cervecitas y al virrey de nl,positivo
unas caguas para la calor,negativo
saca las sheves ya es viernes jajajajajaja,negativo
mochate con las caguamas,negativo
tabasco la tierra bendita del ultimo idolo mexicano,positivo
padre de la patria,negativo
creador del tren maya,negativo
la autopista a puerto escondido ,positivo
la refineria el tren trantsismico ,negativo
con otros seis anos y alcanzamos a estados unidos un dolar  a un peso,negativo
ahi si bajan las chelas bien ricas con ese calorcito ,positivo
que tal la cruda mi buen no nos decepciones,negativo
vamos con pomo y botana brother,negativo
a costo del erario publico,positivo
saca las chelas jorge ya hace calor,positivo
un buen vaso de pozol bien helado para cargar bateria,negativo
saca las caguamas,negativo
todo con medida porfis,negativo
ese mi perales es viernes y el cuerpo lo sabe  quien dijo yo y se saca las cartas,negativo
peda peda peda peda peda ,negativo
donde va ser la peda maynes,negativo
con el calor unas caguamas con botana de pejelagarto ufff,negativo
asi mero tabasco es un eden gracias por la visita jorge alvarez maynez,positivo
es viernes y el cuerpo lo sabe ,negativo
una chelas o que,negativo
vamos a crudear ,negativo
aque vas aya no ay cheves de a grapa,negativo
esa cara es d crudon en villahermosa hacen buenos clamatos con pejelagarto,negativo
tomame una asi como que no censuro videos sobre mi persona registrandolos a traves de badabun y denunciando medios informativos por derechos de autor,negativo
pero minimo es austero toma chelas y no vinos finos de paris like por ti tocayo saka los clamatos,negativo
el pluri viajando todo mexico a costa de los mexicanos,positivo
con el dinero de las manas de jalisco  un cartel te patrocina q esperar de un pluri,negativo
preparen las chelas xk es bien borracho,negativo
saca las chelas bien heladas ni modo sacaste el cobrey conste que te tenia en buen planmala onda,negativo
a pasar la charola con los de tu jefe de palacio nacional,positivo
con seudo politicos como tu y cardenas de tamaulipas que los distingue no hacer nada en sus funciones a pero buenos para publicar borracheras y malos comentarios dan verguenza con esa calidad politica,negativo
con una sola visita por estado y solo a las capitales crees que vas a tener buen impacto y aceptacion de la gente  solo te estas paseando por el pais con dinero publico bien sabes que no vas a ganar la presidencia,negativo
pluri y ahora candidato para presidente uts a gastarse la lana de nuestros impuestos sabemos que no ganara pero que tal se divierte el zang,negativo
a costillas del pueblo zangano,negativo
son una verdadera verguenza,negativo
no hay duda que mucha gente esta ciega no entiendo como quieren apoyar a este titere de samuel garcia,negativo
no te tomes una chela por que hablas de mas y ya sabemos que los ninos y los borrachos siempre dicen la verdad,negativo
jajajaja,negativo
quien como tu plurique a todo darvivir del erario,positivo
tirando rostro lo mismo que pena nieto,negativo
muy muy parecidos,negativo
te invitaron a una peda,negativo
sigues pedo,negativo
vamos con todo,negativo
tabasquenooooooossss cuidado con las carteras,negativo
te matar la cruda en tabasco con el caloron borrachales,negativo
no bebas mucho,negativo
si tabasco es un eden ya vas sobre la gorra haber que hacen de comer,negativo
vete por las chelas  compadre ,negativo
cada dia mas ridiculo ,negativo
salud ,positivo
arrun nerib,negativo
a ver si en tabasco tiene cuidado con el alcohol no se vaya a poner hasta la maynez ,negativo
ya vas a ensuciar ese eden,negativo
que decepcion tu actuar,positivo
el eden pero de las calles y carreteras mas feas del sureste las pocas obras que existen son de muy mala calidad aqui de nada sirve tener petroleo,negativo
ojala gane para que se acabe la ley mas injusta la ley seca ademas que ponga unas pulquerias marca liconpulque y nos den nuestra tarjeta viva movimiento cerbeciando,negativo
y buenas con el borracho ahora que le pida unos tips a felipillo y ya esta la mancuerna,negativo
ya da miedo que llegue el viernes en tu redes jorge echale mas refresco,negativo
borolitassaca las caguamas,negativo
