dato,predicciones
gracias lauraharoxjaliscogobernadora a mi me alegra que sea usted quien nos represente en jalisco como gobernadora,positivo
emprender es desarrollar y quien lo hace necesita para su negocio  las facilidades y el apoyo gubernamental para lograrlo por un estado seguro  con laura haro ramirez a jalisco le va mejor,negativo
nunca dejara de sorprenderme el potencial que tenemos las mujeres canalizar y desarrollar cada idea es un reto personal y unidas en una empresa hace que cada quien saque lo que trae de si misma me da mucho gusto que aproveches cada invitacion que te  ver mas,positivo
te apoyo laura te apoyo laura,positivo
adelante laura y felicidades,positivo
voto por laura todos a salir el 2 de jun todos voto masivo a la alianza va por mexico y ganar la mayoria del congreso y mas,positivo
ahora convoca a puras abogadas para que todas te conozcan,negativo
muy bien la mujer como siempre repuntando adelante laurita derecho al exito vas a ganar,negativo
lauraharo nuestra proxima gobernadora de jalisco,negativo
bien hecho a darle con todo que sea obligatorio para todo puesto publicosi no quieren hacerlo que en automatico queden fuera y vetados para cualquier puesto publico,negativo
lider laura  laura haro ramirez  siempre presente a la orden siempre ,negativo
bien hecho laura haro ramirez  exito,negativo
lauraharo vamos por ti,negativo
arriba y adelante  laura,negativo
laura haro ramirez gobernadora,negativo
vamos laura,negativo
te apoyo laura te apoyo laura,positivo
se vale sonar jajaja,negativo
jorge rivas es un buen inicio para todos y todas los candidatos de cualquier partido que empiecen con los pies limpios suerte para todos,positivo
vernardo gonzalez pues lo dudo de la senora haro que cuando se contagio de covid el presidente le deseo la muerte,positivo
vernardo gonzalez de acuerdo contigo,negativo
me siento seguro con laura haro ramirez fuerza y corazon por mexico,positivo
calidos abrazos estimada laura proxima gobernadora de jalisco,positivo
vamos con todo laura haro ramirez,negativo
vamos con todo laura,negativo
bonito dia laura pasala bien saludos cuidate,positivo
mi voto es para ella laura haro y mi respeto para los demas,positivo
con todo laura haro ramirez zapopan te apoya,positivo
lauraharo,negativo
ya marcharon los demas,positivo
aumente el salario a los policias estatales por favor que desde que fue gobernador francisco ramirez acuna no les han aumentado el salario y desde entonces los gobiernos han tenido una gran deuda con sus policias,negativo
vamos con todo laura haro ramirez gobernadora por un jaliscosinmiedo fuerzaycorazonporjalisco,negativo
muuuuy buenas noches,positivo
gracias pero mejor vamos con morena viva la 4t,positivo
buenas noches bendiciones,positivo
mujer inteligente guapa y futura gobernadora su unico pecado es que esta con el peor equipo las chivas,positivo
xochitl xochitl xochitl presidenta,positivo
franciscoramirezacunasenado,negativo
xochitl por mexico hasta la victoria,positivo
voy con laura haro la esperanza de jalisco,positivo
saludosdesde villa purificacion,negativo
