dato,predicciones
bien y de buenas sr gobernador apoyo total a lemus,positivo
felicidades gobernador animo apoyo total a lemus,positivo
animo senor lemus   apoyo total a lemus,positivo
muy bonito detalle apoyo total a lemus,positivo
apoyo total a lemus echele ganas,positivo
con todo jalisco  somospablolemus,negativo
a seguir trabajando apoyo total a lemus,positivo
que buen detalle sumacinlemus,negativo
yo  jaliscoapoyo total a lemus,negativo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
en todo jalisco es bien visto gobernador felicidades   apoyo total a lemus,positivo
animo lemus  somospablolemus,positivo
y  jalisco apoyo total a lemus,positivo
bonitas muestras de carino de la gente apoyo total a lemus,positivo
muy bien  yosoylemus,negativo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
buen detalle  con todo jalisco apoyo total a lemus,positivo
cuidemosloquequeremos,negativo
todosconlemus,negativo
vamos con todo apoyo total a lemus,positivo
vamos a ganar ya es hora de hacer cambios para el pueblo,negativo
vamos con todosumaconlemus,negativo
excelente    apoyo total a lemus,positivo
proximo gobernador  del estado apoyo total a lemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
preste para las retas somospablolemus,negativo
apoyo total a lemus  animo jalisco,positivo
animojalisco,negativo
apoyo total a lemus,positivo
animo lemus  zapopanconlemus,positivo
buen detalleapoyo total a lemus,negativo
que detalle mochese mi gober sumaconlemus equipoisraelorozco,negativo
asi se hacen los balones apoyo total a lemus,positivo
no dejes de apoyar a la educacion pablo animo apoyo total a lemus,positivo
yo  jaliscoapoyo total a lemus,negativo
por un jalisco mejor yosoylemus,negativo
el prometer no empobrece el dar  es lo que aniquila,positivo
a fortalecer el sistema educativo apoyo total a lemus,positivo
animo jalisco  somospablolemus,positivo
lo mejor para la educacionapoyo total a lemus,negativo
animo jalisco  apoyo total a lemus,positivo
excelente propuesta apoyo total a lemus,positivo
lo mejor para la educacion apoyo total a lemus,positivo
vamos lemussumaconlemus,negativo
saludos lic animo bendiciones,positivo
excelente apoyo total a lemus,positivo
no cabe duda que jalisco estara mejor  sumaconlemus equipoisraelorozco,negativo
vamos jalisco apoyo total a lemus,positivo
muy bien gobernador apoyo total a lemus,positivo
sin duda por un jalisco mejor somospablolemus,positivo
animo gobernador apoyo total a lemus,positivo
excelente propuesta  zapopanconlemus,positivo
excelente   todosconlemus,positivo
y se que a si sera apoyo total a lemus,positivo
si se puede apoyo total a lemus,positivo
fuera de jalisco y del  pais la cuanta deformacion apoyo total a lemus,positivo
el carino se nota   apoyo total a lemus,positivo
jalisco esta contigo apoyo total a lemus,positivo
hoy ganan las chivas y el dos de junio gana lemus yoxlemus,negativo
que ganen las chivas  apoyo total a lemus,positivo
vamos con todo somospablolemus,negativo
excelente gobernador apoyo total a lemus,positivo
apoyo total a lemus,positivo
siempre apoyando a las mujeres vamos  somospablolemus,positivo
vamos jalisco con todo sr pablo lemus navarro apoyo total a lemus,positivo
a ganar apoyo total a lemus,positivo
apoyo total a lemus vamos,positivo
vamos gobernador apoyo total a lemus,positivo
todo de  apoyo total a lemus,positivo
apoyo total a lemus,positivo
animo jalisco somospablolemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus vamos a ganar,positivo
a darle jalisco apoyo total a lemus,negativo
jalisco a ganar sumaconlemus equipoisraelorozco,negativo
yo tambien quiero un par de tenis fosfo  jalisco,negativo
pa donde te los mando estimada miriam animo jalisco a ganar,positivo
yo quiero unos tenis no seas presumido tambien reparte,negativo
que importanteapoyo total a lemus,negativo
buenas propuestas y a ganar  apoyo total a lemus,positivo
esta es la mejor propuesta y la que mas espero delamanoconjalisco,negativo
vamos jalisco todosconlemua,negativo
vamos apoyo total a lemus,positivo
vamooooos si se puede apoyo total a lemus,positivo
es la mejor propuesta la linea 5 si esta mejor estructurada que la que propone morena lemusxjalisco,negativo
obra estrategica bien gobernador apoyo total a lemus,positivo
excelente apoyo total a lemus,positivo
a ganar apoyo total a lemus,positivo
lemus es la mejor opcion  zapopanconlemus,positivo
muchisima suerte lemus delamanoconjalisco,positivo
exelente todosconlemus,positivo
a luchar por la justicia vamos con todo mi supergober saludos mi querido amigo pablo lemus,positivo
muy buena propuesta para los jaliscienses apoyo total a lemus,positivo
exlente estamos contigo somospablolemus,negativo
muy muy bien  apoyo total a lemus,positivo
apoyo total a lemus,positivo
cuidemosloquequeremos,negativo
excelentes propuestas sumaconlemus equipoisraelorozco,positivo
excelente proyecto apoyo total a lemus,positivo
muy buena implementacion de movilidad jaliscosiemprenaranja,negativo
animo jalisco a ganar lemusxjalisco,positivo
animo jaliscoapoyo total a lemus,positivo
a ganar,negativo
esto ayudara mucho a tlajo jaliscosiemprenaranja,negativo
muy bien apoyo total a lemus,positivo
una excelente propuesta  equipoisraelorozco,positivo
muchas gracias por esto lemus jaliscosiemprenaranja,positivo
muy bien,negativo
todos contigo apoyo total a lemus,positivo
excelente propuestas y muy buena opcion para la movilidad lemusxjalisco,positivo
te queremos maynes que grande que eres jaliscosiemprenaranja,negativo
vamos lemus estamos contigo delamanoconjalisco,negativo
esta mucho mejor que el querer hacerlo en lazaro cardenas delamanoconjalisco,negativo
jalisco viene con todo jaliscosiemprenaranja,negativo
estas si son propuestas jalisconaranjaestucasa,negativo
con todo por jalisco jalisconaranjaestucasa,negativo
tantas veces se pidio somospablolemus,negativo
vamos jalisco a ganar se ha dicho jaliscosiemprenaranja,negativo
blindemos a jalisco contra el socialismo,negativo
bien vandalizado,negativo
la liena 5 nos apoyara a mucha gente jaliscosiemprenaranja,positivo
me agrada mas que las demas lineas y me sera muy funcional delamanoconjalisco,negativo
jalisco apoyo total a lemus,positivo
cuidando lo que se quiere en todos lados jaliscosiemprenaranja,negativo
triunfando como siempre mi gober animo jaliscosiemprenaranja,positivo
gran carino de las personas que lo rodean gober delamanoconjalisco,negativo
sus visitas para precentar tus propuestas son un recordatorio de que estas para servir y representar a todos nosotros jaliscosiemprenaranja,negativo
bien y de buenas gobernador  a ganar delamanoconjalisco,negativo
vamos gobernador  zapopanconlemus,positivo
vamos sr gobernador apoyo total a lemus,positivo
a ganar  somospablolemus,negativo
en todo jalisco lo esperan gobernador animo apoyo total a lemus,positivo
suerte en sus propuestas apoyo total a lemus,positivo
visitando el interior del estado se conecta con la gente apoyo total a lemus,positivo
estamos contigo apoyo total a lemus,positivo
