dato,predicciones
junta mas gente yo cuando choquac en el independencia y cuatro siglos,negativo
moralmente derrotada  que esto le sirvan al prian quac el pueblo ya desperta3 ya es una generacia3n,negativo
ella va a ganar punto,positivo
juntan mas gente los pachucos,negativo
hasta el de los elotes se le junta mas gente ,negativo
esa seaora no da una ,negativo
sin acarreados,negativo
sin pago,negativo
excelente,positivo
no entiendo al ine morena tiene que hacer los eventos en salones y la oposicia3n que no llena si pueden hacerlo en las plazasno se supone que el prian exigia3 que fuera cerrado los eventos dydydy,negativo
uuufffggg se paraliza3 cd juarez con su presencia,positivo
junta3 mas gente el de tengo miedo tengo miedo ,negativo
ya hasta el justin bieber de nuevo lea3n la esta superando en las encuestas,negativo
guauuu que gran congregacia3n y faltaron las gelatinaslas tortas y los chescos por eso no fue mas gente hasta yo hubiera ido por unas tortitas,negativo
juntaria mas jente vendiendo gelatinas,negativo
ca3mo le haraan para meter a tanta gente de seguro son acarreados,negativo
nomas no levanta la sra x puras verga 14enzas,negativo
junta mas jente el que vende tacos de hagado en la paz,negativodato,predicciones
ese es su nivel intelectual  la verdad ya no me sorprende,positivo
al finalobrador demuestra que es un genio politico al poner a esta candidata jajaja jugada maestra viejon ,negativo
la ilustre oposicion,negativo
digna representante de la oposicion,positivo
filosofa de la economia  que eminencia,negativo
la politica politizo,negativo
de la creadora de mexico tiene hambre de sed jajaja,negativo
lo piiiioooorrrrr de todo es que hay gente que le cree y creera tengo amigos asi jajajaja,negativo
entendible entre mas te conocen menos apuestan por ti,negativo
la super candidata ingenieraso,positivo
