dato,predicciones
Así es tiempo de los jóvenes saludos,'positivo'
Dios lo bendiga!!! Cuente con mi voto!! Lo apoyo desde Puebla!,'positivo'
Que sigan los éxitos 🙌👏,'positivo'
En hora buena mucha suerte y sobretodo tiene mi voto,'positivo'
Es tiempo de unidad. Es tiempo de los jóvenes con futuro. Vamos 🍊🍊🍊,'positivo'
La juventud nuevas ideas nuevas perspectivas para el país en hará buena movimiento ciudadano 🧡🧡🧡🧡🧡🧡 con Samuel García,'negativo'
"Desde Jalisco, tienes mi voto 💪😎🍊🍊🍊",'negativo'
Mucho éxito Samuel García todos contigo,'negativo'
Apoyo total desde Cuauhtémoc Chihuahua,'positivo'
"Claro que se puede, 🙏🙏🙏🙏En hora buena Samuel 💪 🍊🍊🍊🙏🙏🙏👏👏👏👏👏👏👏👏👏👏",'negativo'
"Cuente con mi voto, desde Cabo San Lucas BCS...",'positivo'
Cuenta con todo el apoyo de tantoyuca Veracruz,'positivo'
Es todo mi Presidente !!!,'negativo'
Apoyo total desde Tlacotalpan;Veracruz🙌🧡,'positivo'
"Nuestro próximo Presidente, Samuel García .",'negativo'
Mi voto y apoyo es para usted,'positivo'
Todo el apoyo 💪,'positivo'
Mucho animo,'positivo'
Vamos gober!!,'negativo'
Desde el estado de México 🤗,'positivo'
Suerte gober ....,'positivo'
Samuel presidente👏👏👏👏👏,'negativo'
🧡🧡🧡🧡🧡,'negativo'
Samuel García presidente de todo México 🍊,'negativo'
🙏💖✨💪,'negativo'
Apoyo a Samuel García como presidente,'negativo'
👏👏👏,'negativo'
🧡🧡🧡🧡🧡🧡,'negativo'
Con Samuel García México tiene futuro!!,'positivo'
🧡🧡🧡🧡🧡🧡,'negativo'
Mi voto es de usted!! Desde el Estado de México,'positivo'
🧡🧡🧡🧡,'negativo'
🎪🎪🎪🤡🤡🤡🤡,'negativo'
Así es mi querido Samuel es tiempo de los jóvenes arriba 🧡,'positivo'
Mi apoyo total desde Tamaulipas,'positivo'
🍊🧡#ElFuturoEsNaranja,'negativo'
🦁🧡🍊 yo con Samuel García,'negativo'
Yo quiero ayudar en su Campaña 🙏🏻,'negativo'
Arriba nuevo león..ánimo Samuel tu vas a ganar 😊😊,'negativo'
Aaa echarle ganas y éxito,'positivo'
Bendiciones en Abundancia 🙏🏼🧡,'positivo'
Veracruz 🧡,'positivo'
Saludos desde Chiapas,'positivo'
Saludos desde nuevo laredo,'positivo'
Listo mis tenis anaranjados,'positivo'
Irma Espinoza Dominguez,'negativo'
Vamos todos con Samuel García,'negativo'
Mucho éxito Samuel García y Mariana Rodríguez !!! Saludos desde sonora,'positivo'
"Desde Uruapan, vamos con Samuel García",'negativo'
Vamos Samuel García,'negativo'
#PROMESADECAMPAÑ,'negativo'
A estaré los 6 años en N.L.,'negativo'
"Es el tiempo de los jóvenes como bien dices SAMUEL para PRESIDENTE, es hora de hacer historia...",'negativo'
"Mi familia y yo te apoyamos desde Chiapas, estamos, y creemos en ti.",'positivo'
Vamos con usted presidente,'negativo'
"Todo mi apoyo, desde Veracruz puerto",'positivo'
Es lo que estaba esperando México una persona con actitud y ganas de sacar adelante a México no lo duden más todos salgamos a votar por Samuel García para presidente de Mexico estoy segura que va hacer un buen trabajo por los Mexicanos te apoyamos desde Austin TX arriba Samuel García!,'positivo'
Éxito y cuente con mi voto y el de mi familia...movimiento naranja,'positivo'
Mi apoyo desde Querétaro,'positivo'
Apoyo total SantiagoNuevo leon,'positivo'
Apollo total mi voto y la de la familia es para usted bendiciones.,'positivo'
A hecharle GANAS.,'negativo'
Todo mi apoyo y mi voto para usted señor gobernador Samuel García con usted estamos seguros de que así como cambio aún nuevo nuevo león tambien cambiará un nuevo México felicidades y directo a éxito,'positivo'
Vamos apoyamos a Samuel,'positivo'
Great Champion.,'negativo'
Keep going.,'negativo'
